Domande,Risposte
Perche' Will Smith ha dato uno schiaffo a Chris Rock?,"Chris Rock, uno dei comici chiamati a introdurre un premio, ha definito Jada Pinkett-Smith “G.I. Jane”, un gioco di parole su G.I. Joe in riferimento alla calvizie dell'attrice dovuta alla sua alopecia"
Quali nominations ha ottenuto Andrew Garfield nella sua carriera?,"Golden Globe, BAFTA, Screen Actors Guild Award, Satellite Award, Premio Oscar"
Qual è stato il film d'esordio di Javier Bardem,Le età di Lulù
Chi ha vinto l'Oscar per miglior attore protagonista,Will Smith
Quali premi ha ricevuto nella sua carriera Denzel Hayes Washington Jr.?,"tre Golden Globe, un Tony Award, due premi Oscar"
Che ruolo aveva  Cumberbatch nel film Amazing Grace? ,Il Primo Ministro William Pitt the Younger.
Che cittadinanza ha Andrew Garfield,"Britannica, statunitense"
In quali film Javier Bardem ha recitato con Penelope Cruz?," Prosciutto, prosciutto, Carne trémula, Vicky Cristina Barcelona, The Counselor - Il procuratore, Escobar - Il fascino del male, Tutti lo sanno."
 Chi tra i candidati agli oscar del 2022 ha vinto il premio per miglior attore non protagonista nel 2008? ,Javier Bardem
Cosa ha detto Will Smith dopo aver dato uno schiaffo a Chris Rock,“L'arte imita la vita. Sembro un padre folle come mi hanno detto e come hanno detto a Richard Williams. L'amore ti fa fare cose folli”.